Username,Nickname,Messages,Tokens
"cryptobebop.eth#2917","@cryptobebop9011",4,408.1321882547433
"nisten#0466","nisten",4,408.1321882547433
"Broosi#8185","Broosi",4,408.1321882547433
"lily777#3207","lily777",4,408.1321882547433
"gALEXy#6371","gALEXy",4,408.1321882547433
"mogs#3920","mogs",4,408.1321882547433
"Tim#1506","Tim | AtomicHub | pink.gg",4,408.1321882547433
"shawn#9697","shawn",4,408.1321882547433
"calebelston#8674","calebelston",4,408.1321882547433
"hazal#2422","hazal",4,408.1321882547433
"jmass1997#0308","jmass1997",4,408.1321882547433
"yitef#3524","yitef",4,408.1321882547433
"Munam Wasi#6375","MunamWasi",4,408.1321882547433
"Alex 2417246187264#2382","Alex 2417246187264",4,408.1321882547433
"Shookers#4678","Shookers",4,408.1321882547433
"NGNBoone#8844","NGNBoone",4,408.1321882547433
"in4ra3d#4585","in4ra3d",4,408.1321882547433
"sangsang87#4121","sangsang87",4,408.1321882547433
"Iron Man#1387","Iron Man",4,408.1321882547433
"ResoluteLogan#6652","ResoluteLogan",4,408.1321882547433
"BGDAGREAT#5028","BGDAGREAT",4,408.1321882547433
"shawn#3543","shawn",4,408.1321882547433
"chrisadamhuang#6325","chrisadamhuang",4,408.1321882547433
"bouyantwhale#1590","bouyantwhale",4,408.1321882547433
"sigil#6969","sigil",4,408.1321882547433
"leeey#2647","andrew",4,408.1321882547433
"Lion8848.eth#2021","lion8848.eth",4,408.1321882547433
"BILLYBMSTU#7053","BILLYBMSTU",4,408.1321882547433
"Nikky7#9121","Nikky7",4,408.1321882547433
"morte-ch#8200","morte-ch",4,408.1321882547433
"terminator#8672","terminator",4,408.1321882547433
"allu.eth#9788","allu.eth",4,408.1321882547433
"0xSenjka#2202","0xSenjka",4,408.1321882547433
"wabitoshi#2742","wabitoshi",4,408.1321882547433
"pisom#5976","pisom",4,408.1321882547433
"cg123#7910","cg123",4,408.1321882547433
"coconutgoblin#6020","coconutgoblin",4,408.1321882547433
"Shawki#8559","Shawki",4,408.1321882547433
"Bohdan1304 | TFC#1270","Bohdan1304 | TFC",4,408.1321882547433
"jaysonw#9733","jaysonw",4,408.1321882547433
"Jimmi#1111","Jimmi",4,408.1321882547433
"ashray#7588","ashray",4,408.1321882547433
"yumi#9817","yumi",4,408.1321882547433
"Koishi#6249","Koishi",4,408.1321882547433
"czizzy#6548","czizzy",4,408.1321882547433
"niuniu~wo#4158","niuniu~wo",4,408.1321882547433
"MushCoin#3602","MushCoin",4,408.1321882547433
"kasra#0001","kasra",4,408.1321882547433
"Bobby ᴰᴿᴬᴳᴼᴺᔆ ᴬᴿᴱᴺᴬ#9923","Bobby ᴰᴿᴬᴳᴼᴺᔆ ᴬᴿᴱᴺᴬ",4,408.1321882547433
"bambumalo#3656","bambumalo",4,408.1321882547433
"cesar0990#0025","cesar0990",4,408.1321882547433
"Karsus#7147","Karsus",4,408.1321882547433
"prat.eth#2974","prat.eth",3,379.3270263697335
"Prophet#0578","Prophet",3,379.3270263697335
"alecfwilson#2774","alecfwilson",3,379.3270263697335
"cryptovik#4630","cryptovik",3,379.3270263697335
"tonyac42#9107","tonyac42",3,379.3270263697335
"safwaan#1894","safwaan",3,379.3270263697335
"Alex Masmej (don’t send money)#4264","Alex Masmej (don’t send money)",3,379.3270263697335
"Trey#5427","Trey",3,379.3270263697335
"Mr.416#6218","Mr.416",3,379.3270263697335
"dill.eth#8402","dill.eth",3,379.3270263697335
"noellar#6710","noellar",3,379.3270263697335
"starman#7506","starman",3,379.3270263697335
"Yashvardhan_chauhan#8863","Yashvardhan_chauhan",3,379.3270263697335
"RexYe#8206","RexYe",3,379.3270263697335
"SocaBlood#7530","SocaBlood",3,379.3270263697335
"gubator#6805","gubator",3,379.3270263697335
"amarrazza#9709","amarrazza",3,379.3270263697335
"Matt B#0216","Matt B",3,379.3270263697335
"coleman#2896","coleman",3,379.3270263697335
"madhav#5260","madhav",3,379.3270263697335
"jordancarlisle.eth (Sow.vc)#6893","jordancarlisle.eth (Sow.vc)",3,379.3270263697335
"dx1618#1997","dx1618",3,379.3270263697335
"treyd.eth#4095","treyd.eth",3,379.3270263697335
"Dani in Tech#7337","Dani in Tech",3,379.3270263697335
"Nickolas#1247","Nickolas",3,379.3270263697335
"deficryptonow#4650","deficryptonow",3,379.3270263697335
"irwingtello#3623","irwingtello",3,379.3270263697335
"dreamer#1865","dreamer",3,379.3270263697335
"xmd404#4483","xmd404",3,379.3270263697335
"Roman Zaxarov#4354","Roman Zaxarov",3,379.3270263697335
"iigorkos#9764","iigorkos",3,379.3270263697335
"Steve Barns#2161","Steve Barns",3,379.3270263697335
"blackwhite#2789","blackwhite",3,379.3270263697335
"ritzer#2187","ritzer",3,379.3270263697335
"Afritech#6583","Afritech",3,379.3270263697335
"omer47#9758","omer47",3,379.3270263697335
